,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,History,Adventure,Comedy,Documentary,Action,Mystery,Western,Fantasy,Drama,Music,Romance,Sport,Sci-Fi,War,Film-Noir,Family,Crime,Short,Biography,Animation,Horror,News,Thriller,Musical
Avatar,1.0,0.8891625615763546,0.5294117647058824,0.0,0.037173913043478266,0.0015625,1.0,0.5244528953537162,0.007360711403468702,0.0,0.6034789484087765,0.05642852245271855,0.9299999999999997,0.006832116788321168,0.8181818181818182,0.04048582995951418,0.09455587392550144,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pirates of the Caribbean: At World's End,1.0,0.37068965517241376,0.5015479876160991,0.02447826086956522,0.04347826086956522,0.0625,0.4068398121179068,0.2788652109561186,0.07362234099249311,0.0,0.24451472623048034,0.07142852323129002,0.9100000000000001,0.03649635036496351,0.7142857142857142,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spectre,1.0,0.7401477832512315,0.4365325077399381,0.0,0.007,0.0171875,0.2630802332529572,0.16325582523898377,0.017815540633136905,0.023255813953488372,0.19628385056335243,0.058333284456346675,0.990000000000002,0.0028686131386861315,0.6753246753246752,0.07894736842105264,0.24355300859598855,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The Dark Knight Rises,1.0,1.0,0.4860681114551083,0.9565217391304348,1.0,0.0421875,0.5892532940105504,0.6772161000474033,0.16256147884214214,0.0,0.5337023127100218,0.05952376070861425,0.9600000000000009,0.16788321167883213,0.896103896103896,0.07894736842105264,0.4699140401146132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
John Carter,1.0,0.5677339901477833,0.38699690402476783,0.02065217391304348,0.023043478260869568,0.001,0.09606570791117755,0.12557944653645875,0.002852009197082515,0.023255813953488372,0.14568096461751334,0.0627856656398274,0.9600000000000009,0.004613138686131387,0.6493506493506492,0.07894736842105264,0.06876790830945559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spider-Man 3,1.0,0.4815270935960591,0.4613003095975232,0.0,0.1739130434782609,0.0375,0.44250838308986473,0.22668972320904934,0.07012775417599318,0.0,0.37576596165250054,0.061428522712242375,0.9100000000000001,0.08029197080291971,0.5974025974025974,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tangled,1.0,0.3977832512315271,0.28792569659442724,0.0006521739130434783,0.012347826086956523,0.0012484375,0.26404418002476865,0.17446570783170853,0.0031002086093219437,0.023255813953488372,0.07629966396521053,0.0619047132131494,0.9400000000000013,0.004036496350364963,0.8051948051948051,0.04520917678812417,0.0830945558739255,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Avengers: Age of Ultron,1.0,0.7807881773399015,0.4148606811145511,0.0,0.8260869565217391,0.040625,0.6035345245315292,0.27380472599938804,0.14008801181611927,0.09302325581395349,0.2205969559201423,0.05952376070861425,0.990000000000002,0.15328467153284672,0.7662337662337662,0.07894736842105264,0.33810888252148996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Half-Blood Prince,1.0,0.4605911330049261,0.4520123839009288,0.012260869565217393,0.4347826086956522,0.0390625,0.3970474172063553,0.19043544079362795,0.08946294519817886,0.06976744186046512,0.19213283257560781,0.05952376070861425,0.9299999999999997,0.08029197080291971,0.7662337662337662,0.07894736842105264,0.02865329512893983,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batman v Superman: Dawn of Justice,1.0,0.8275862068965517,0.544891640866873,0.0,0.08695652173913045,0.0234375,0.4342490878289753,0.2199331383942917,0.03722991183591431,0.0,0.5963629175726428,0.05952376070861425,1.0,0.029197080291970805,0.6883116883116883,0.07894736842105264,0.5644699140401146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
